instrument,samba,mix,sdr,isr,sir,sar,perm
AG,SE,2,19.304342751515716,30.76743136154814,23.277983946785824,22.529400360219675,0.0
CX,SE,2,5.694542665919569,15.500010534454654,10.51570947655448,12.672255493004899,0.0
PD,SE,2,7.347767383890127,12.87280268541082,11.134477034294438,17.16244762652404,0.0
RR,SE,2,2.9604959045258328,6.277399863304069,7.882977072010677,8.248457892504845,0.0
RP,SE,2,5.743172192410924,8.06655804078911,23.567380993629495,13.319207571505787,0.5
SK,SE,2,8.22927140151176,11.348271136429878,17.476541479638755,12.931604232948887,1.0
SU,SE,2,21.628906491324358,52.92316598461595,23.389255183960053,28.926042228500663,1.0
TB,SE,2,7.595819525803787,12.553425704538828,13.107093900974757,13.88032125509389,1.0
TT,SE,2,11.063316088050563,39.62621607705955,11.470912188358959,22.63651143675969,1.0
AG,SE,3,17.498490951306533,25.796308611655082,20.411835858536023,21.791390423519957,0.0
CX,SE,3,1.2915373762126592,2.8900576050316436,-1.390188201507387,5.856113216311776,0.0
PD,SE,3,0.2740366909704683,1.4771485603566523,-3.247742965575119,7.883665191754701,0.0
RR,SE,3,1.3418969056499606,3.0678501760522217,-1.4487013431247846,7.565653884399934,1.0
RP,SE,3,0.1251851256932679,0.5790299961448166,2.3945804837920077,8.20871310773359,1.0
SK,SE,3,4.224060269956613,6.731753950842935,11.853602491584894,10.87956250182378,1.0
SU,SE,3,3.500744941698753,39.23586989540949,2.3577369802762735,24.893792013702246,2.0
TB,SE,3,3.9020805540863956,8.257315729415335,2.97006067664624,12.655655236321294,2.0
TT,SE,3,-0.0725358090785673,30.091957813536684,-1.4210706165525329,17.13416518611539,2.0
AG,SE,4,16.17404472870594,23.489514854825533,19.411212946499546,20.039749942156057,0.0
CX,SE,4,0.27569897686651434,1.1867067088551604,-6.108499564350279,4.7249637276308345,0.0
PD,SE,4,0.2548214401661137,1.0182281138400202,-5.856186492884076,7.450943847058783,1.0
RR,SE,4,0.04940896996904587,2.22548805924125,-7.079403038274886,7.044698845774722,1.0
RP,SE,4,0.012627408583060194,0.2014788605735079,-4.380338671142246,7.419572476801763,1.5
SK,SE,4,2.547288621939034,3.590271252599429,3.477277826319382,9.880015792373214,2.0
SU,SE,4,2.2134188190400748,17.15428103269137,2.1047122446244613,22.813735452324334,2.0
TB,SE,4,2.8541383471524577,5.939416929850417,1.3567248286274753,11.240551945719226,3.0
TT,SE,4,-0.3059621420071155,1.068617950433064,-8.818406612544202,8.673422641353177,3.0
AG,SE,5,13.524536505462166,22.065267547167238,17.093332224755684,17.30385391830825,0.0
CX,SE,5,-0.16579995649988952,0.7680763962528518,-9.907191280328767,4.023286647575429,0.5
PD,SE,5,0.2650787646196342,0.6810152012614842,-6.421355472662773,7.144789853093428,1.0
RR,SE,5,-0.43727204689455246,1.5612102024850267,-9.491499578829739,6.7540267683643105,1.5
RP,SE,5,-0.11825051769004356,0.1366677866771647,-11.908791778067421,7.127664634038854,2.0
SK,SE,5,0.43969216850945086,2.318258084247921,-6.0608714385221285,9.23810353132063,2.5
SU,SE,5,0.9634599687975456,7.992193992252087,-6.782086389908679,15.221172526536872,3.0
TB,SE,5,0.3891100322433736,4.082848072354222,-4.398780315065827,9.453532804087736,3.5
TT,SE,5,-0.4219284095087146,0.3029089529229976,-13.075911972512738,7.8155838086634954,4.0
AG,SE,6,12.308246801314363,20.744229527709464,15.531577358278824,15.72290195859646,0.0
CX,SE,6,-0.2170436483354259,0.5644897633868105,-10.828272074782726,3.8705154996771047,1.0
PD,SE,6,0.2694245664478283,0.5148320815905695,-6.816737859669537,7.158644585302296,1.0
